vertId	computed saliency value 
662	1.12249e-08
663	0
664	6.33344e-09
665	6.33344e-09
666	3.41893e-09
667	8.94405e-10
668	3.12815e-09
669	3.17756e-09
670	1.6001e-08
671	1.56458e-08
672	1.21373e-08
673	7.33865e-08
674	6.3317e-08
675	0.0425624
676	0.0108948
677	0.0331469
678	3.44189e-08
679	4.88744e-09
680	3.29292e-08
681	2.63287e-08
682	3.01906e-08
683	3.8532e-08
684	1.38346e-08
685	2.2591e-08
686	2.44456e-08
687	1.32486e-08
688	1.14348e-08
689	1.68115e-09
690	5.43893e-09
691	1.67361e-09
692	5.48002e-09
693	0.0211205
694	0.0285248
695	0.0467562
696	7.92985e-09
697	6.53435e-08
698	6.47043e-08
699	2.63695e-10
700	6.11045e-09
701	4.15822e-09
702	1.65371e-08
703	3.70695e-08
704	2.07951e-08
705	6.50358e-09
706	1.48062e-08
707	1.5887e-08
708	5.59438e-09
709	1.95794e-08
710	1.50165e-08
711	4.75283e-08
712	1.0299e-08
713	4.06681e-08
714	0.0106179
715	0.0390306
716	0.0220701
717	1.25072e-08
718	6.71241e-09
719	1.30703e-08
720	1.67778e-09
721	1.13087e-08
722	1.12958e-08
723	0
724	2.61421e-09
725	2.61421e-09
726	2.3035e-09
727	1.07246e-11
728	1.61643e-09
729	2.57604e-08
730	1.45942e-08
731	9.73834e-09
732	2.03738e-08
733	1.05624e-08
734	1.17086e-08
735	0
736	4.28309e-10
737	4.28309e-10
738	9.50646e-10
739	3.46798e-09
740	3.50428e-09
741	3.41098e-09
742	6.55364e-09
743	6.10268e-09
744	6.73866e-09
745	7.78046e-09
746	6.7831e-09
747	1.79173e-08
748	7.36542e-09
749	1.5831e-08
750	5.50557e-08
751	2.93851e-08
752	4.50218e-08
753	0
754	0.00939172
755	0.00939173
756	0
757	2.43892e-09
758	2.43892e-09
759	0
760	9.31872e-10
761	9.31871e-10
762	0
763	4.02668e-10
764	4.02668e-10
765	0
766	1.09707e-08
767	1.09707e-08
768	0
769	0
770	0
771	0
772	0
773	0
774	0
775	0
776	0
777	0
778	0
779	0
780	0
781	1.19347e-08
782	1.19347e-08
783	0
784	1.03775e-09
785	1.03774e-09
786	0
787	1.40669e-08
788	1.40669e-08
789	0
790	1.66006e-09
791	1.66006e-09
792	0
793	1.49315e-09
794	1.49315e-09
795	0.00411124
796	0
797	0.00411124
798	2.38146e-09
799	0
800	2.38146e-09
801	3.62954e-09
802	0
803	3.62954e-09
804	1.30859e-08
805	0
806	1.30859e-08
807	2.53447e-08
808	0
809	2.53447e-08
810	2.15546e-10
811	0
812	2.15546e-10
813	0
814	0
815	0
816	0
817	0
818	0
819	0
820	0
821	0
822	4.25512e-09
823	0
824	4.25512e-09
825	1.70164e-08
826	0
827	1.70164e-08
828	8.63408e-10
829	0
830	8.63408e-10
831	1.20165e-07
832	0
833	1.20165e-07
834	4.31486e-10
835	0
836	4.31486e-10
837	1.26878e-08
838	0
839	1.26878e-08
840	4.58073e-10
841	0
842	4.58073e-10
843	0
844	0
845	0
846	1.30197e-08
847	0
848	1.30197e-08
849	0
850	0
851	0
852	0
853	0
854	0
855	0
856	0
857	0
858	1.10457e-08
859	8.24001e-09
860	4.42132e-10
861	0
862	4.81363e-09
863	4.81363e-09
